Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name_Length,Is_Sequel,Console_Maker,Competition_Index,Publisher_Experience,Hit_Target,Critic_Score,User_Score,Total_Rating_Count,IGDB_Genres
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,10,0,Nintendo,2257,5.707110265,1,0,0,0,"Simulator, Sport"
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,14,0,Nintendo,3121,6.21860012,1,0,0,0,"Racing, Indie"
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33,17,0,Nintendo,4489,6.366470448,1,90,84.25562573,199,"Racing, Simulator, Sport"
4,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,21,0,Nintendo,2257,5.710427017,1,79.88888889,79.13718416,184,"Platform, Adventure"
5,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,8,0,Nintendo,2257,5.713732806,1,44,47.10258167,16,Sport
6,Wii Play,Wii,2007,Misc,Nintendo,13.96,9.18,2.93,2.85,28.92,8,0,Nintendo,2687,5.983936281,1,44,47.10258167,16,Sport
7,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,25,0,Nintendo,4489,6.368187186,1,0,0,0,Platform
8,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76,10,0,Nintendo,1927,5.459585514,1,0,0,0,
9,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,13,0,Nintendo,1927,5.463831805,1,90,85.97410136,391,"Racing, Arcade"
10,Pok��mon Gold / Silver Ver,GB,2000,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,29,0,Nintendo,1609,0,1,0,0,0,
11,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,7,0,Nintendo,2687,5.986452005,1,73.5,67.2550563,64,"Simulator, Sport"
12,Wii Fit,Wii,2008,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,7,0,Nintendo,3121,6.22059017,1,73.5,67.2550563,64,"Simulator, Sport"
13,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22,12,0,Nintendo,4489,6.369900983,1,78.66666667,74.88257881,31,Sport
14,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,18,0,Microsoft,3712,5.298317367,1,65,61.54209602,33,"Sport, Adventure"
15,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,18,0,Sony,1893,5.942799375,1,0,87.25022815,281,"Shooter, Racing, Arcade"
16,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,29,1,Sony,1689,4.077537444,1,93.14285714,91.6651718,3648,"Shooter, Racing, Adventure"
17,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,44,1,Nintendo,1927,5.468060141,1,80,71.50598998,34,"Puzzle, Quiz/Trivia"
18,Brain Age: Train Your Brain in Minutes a Day,DS,2006,Misc,Nintendo,4.74,9.21,4.16,2.04,20.16,44,1,Nintendo,2257,5.717027701,1,80,71.50598998,34,"Puzzle, Quiz/Trivia"
19,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,29,0,Nintendo,2257,5.720311777,1,0,0,0,
20,Pok��mon Diamond / Pearl Ver,DS,2007,Role-Playing,Nintendo,6.38,4.47,6.04,1.36,18.25,31,0,Nintendo,2687,5.988961417,1,0,0,0,
21,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,18,0,Microsoft,1893,5.945420609,1,0,87.25022815,281,"Shooter, Racing, Arcade"
22,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,27,1,Sony,1831,3.465735903,1,0,0,0,"Racing, Hack and slash/Beat 'em up, Adventure, Arcade"
23,Pok��mon,3DS,2013,Role-Playing,Nintendo,5.68,5.06,4.4,0.99,16.13,11,0,Nintendo,1893,6.880384082,1,0,0,0,
24,Pok��mon Ruby / Sapphire Ver,GBA,2003,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,31,0,Nintendo,1819,4.744932128,1,0,0,0,
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,29,0,Nintendo,1831,4.406719247,1,0,0,0,
26,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,27,0,Nintendo,3712,6.612041035,1,0,0,0,
